"id","content","annotations__id","annotations__tag_id","annotations__end","annotations__start","annotations__example_id","annotations__tag_name","annotations__value","annotations__correct","annotations__human_annotations__timestamp","annotations__human_annotations__annotator_id","annotations__human_annotations__tagged_token_id","annotations__human_annotations__name","annotations__human_annotations__reason"
"18c2f619-f102-452f-ab81-d26f7e283ffe","While bismuth compounds (Pepto-Bismol) decreased the number of bowel movements in those with travelers' diarrhea, they do not decrease the length of illness.[91] Anti-motility agents like loperamide are also effective at reducing the number of stools but not the duration of disease.[8] These agents should be used only if bloody diarrhea is not present.[92]\n\nDiosmectite, a natural aluminomagnesium silicate clay, is effective in alleviating symptoms of acute diarrhea in children,[93] and also has some effects in chronic functional diarrhea, radiation-induced diarrhea, and chemotherapy-induced diarrhea.[45] Another absorbent agent used for the treatment of mild diarrhea is kaopectate.\n\nRacecadotril an antisecretory medication may be used to treat diarrhea in children and adults.[86] It has better tolerability than loperamide, as it causes less constipation and flatulence.[94]","0825a1bf-6a6e-4fa2-be77-8d104701eaed","c06bd022-6ded-44a5-8d90-f17685bb85a1","371","360","18c2f619-f102-452f-ab81-d26f7e283ffe","Medicine","Diosmectite","null","2020-03-21T00:24:32.098000Z","1","0825a1bf-6a6e-4fa2-be77-8d104701eaed","Ashpat123","exploration"
"","","145f62b1-bbf5-42f1-8ad5-9c7e08337bf0","c06bd022-6ded-44a5-8d90-f17685bb85a1","408","383","18c2f619-f102-452f-ab81-d26f7e283ffe","Medicine","aluminomagnesium silicate","null","2020-03-21T00:24:43.692000Z","1","145f62b1-bbf5-42f1-8ad5-9c7e08337bf0","Ashpat123","exploration"
"","","243efeb2-723f-4be4-933c-fbbf7e0f9903","03eb3e50-d4d8-4261-a60b-fa5aee5deb4a","112","104","18c2f619-f102-452f-ab81-d26f7e283ffe","MedicalCondition","diarrhea","null","2020-03-21T00:24:09.423000Z","1","243efeb2-723f-4be4-933c-fbbf7e0f9903","Ashpat123","exploration"
"","","281f49d3-879a-4409-b09e-4cfae019af16","c06bd022-6ded-44a5-8d90-f17685bb85a1","689","679","18c2f619-f102-452f-ab81-d26f7e283ffe","Medicine","kaopectate","null","2020-03-21T00:25:38.366000Z","1","281f49d3-879a-4409-b09e-4cfae019af16","Ashpat123","exploration"
"","","32fdf9e7-63f7-442a-8e25-f08ea4ad94d5","c06bd022-6ded-44a5-8d90-f17685bb85a1","23","6","18c2f619-f102-452f-ab81-d26f7e283ffe","Medicine","bismuth compounds","null","2020-03-21T00:23:46.721000Z","1","32fdf9e7-63f7-442a-8e25-f08ea4ad94d5","Ashpat123","exploration"
"","","392094d2-febf-4074-a2ca-4c0082f4e5b8","c06bd022-6ded-44a5-8d90-f17685bb85a1","37","25","18c2f619-f102-452f-ab81-d26f7e283ffe","Medicine","Pepto-Bismol","null","2020-03-21T00:23:58.861000Z","1","392094d2-febf-4074-a2ca-4c0082f4e5b8","Ashpat123","exploration"
"","","450b8c30-cf2e-4774-96d9-58b4160bea38","03eb3e50-d4d8-4261-a60b-fa5aee5deb4a","470","461","18c2f619-f102-452f-ab81-d26f7e283ffe","MedicalCondition","diarrhea ","null","","","","",""
"","","6b73f683-7130-4e16-bcc2-e3cc8cf89f4d","c06bd022-6ded-44a5-8d90-f17685bb85a1","589","577","18c2f619-f102-452f-ab81-d26f7e283ffe","Medicine","chemotherapy","null","2020-03-21T00:25:24.179000Z","1","6b73f683-7130-4e16-bcc2-e3cc8cf89f4d","Ashpat123","exploration"
"","","74574b7f-d535-48e1-8651-2708adcfe453","03eb3e50-d4d8-4261-a60b-fa5aee5deb4a","865","853","18c2f619-f102-452f-ab81-d26f7e283ffe","MedicalCondition","constipation","null","2020-03-21T00:26:31.676000Z","1","74574b7f-d535-48e1-8651-2708adcfe453","Ashpat123","exploration"
"","","7572ab8e-ae99-400c-b4ab-ed46fbc9f97e","c06bd022-6ded-44a5-8d90-f17685bb85a1","198","188","18c2f619-f102-452f-ab81-d26f7e283ffe","Medicine","loperamide","null","2020-03-21T00:24:17.680000Z","1","7572ab8e-ae99-400c-b4ab-ed46fbc9f97e","Ashpat123","exploration"
